Subset Code,Subset Name,NCIt Concept Code,NCIt Preferred Term,NCIt Definition,UBERON Code,UBERON Preferred Term,UBERON Synonyms(s),UBERON Definition
C198975,UBERON Terminology,C12375,Anal Canal,"The terminal section of the alimentary canal, which extends from the anorectal junction and ends at the anal opening.",UBERON:0000159,anal canal,,"The terminal part of the large intestine, continuous proximally with the rectum and distally terminates with the anus."
C198975,UBERON Terminology,C165177,Anal Sphincter,The internal and external muscles surrounding the anus that maintain continence.,UBERON:0004916,anal sphincter,anal region sphincter || sphincter analia,A sphincter muscle that is part of the anal region.
C198975,UBERON Terminology,C32078,Ankle Joint,A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus.,UBERON:0001488,ankle joint,,A joint that connects the hindlimb autopod and zeugopod skeletons.
C198975,UBERON Terminology,C186102,Anorectum,The distal portion of the gastrointestinal tract that includes the anal canal and rectum.,UBERON:8410050,anorectum,,"A subdivision of the digestive tract in humans that includes the rectum, the anal canal and the anus."
C198975,UBERON Terminology,C32098,Anterior Mediastinum,"The area between the lungs; it contains the thymus, some lymph nodes, and vessels and branches of the internal thoracic artery.",UBERON:0008820,anterior mediastinum,,"The anterior mediastinum exists only on the left side where the left pleura diverges from the mid-sternal line. It is narrow, above, but widens out a little below."
C198975,UBERON Terminology,C43362,Anus,"The lower opening of the digestive tract, lying in the cleft between the buttocks, through which fecal matter is extruded.",UBERON:0001245,anus,anal opening || anal orifice || opening of terminal part of digestive tract || opening of terminal part of digestive tractanal orifice,"Orifice at the opposite end of an animal's digestive tract from the mouth. Its function is to expel feces, unwanted semi-solid matter produced during digestion, which, depending on the type of animal, may be one or more of: matter which the animal cannot digest, such as bones; food material after all the nutrients have been extracted, for example cellulose or lignin; ingested matter which would be toxic if it remained in the digestive tract; and dead or excess gut bacteria and other endosymbionts."
C198975,UBERON Terminology,C12669,Aorta,"The major arterial trunk that carries oxygenated blood from the left ventricle into the ascending aorta behind the heart, the aortic arch, through the thorax as the descending aorta and through the abdomen as the abdominal aorta; it bifurcates into the left and right common iliac arteries.",UBERON:0000947,aorta,trunk of aortic tree || trunk of systemic arterial tree,"The main trunk of the systemic arterial system that carries blood from the heart to all the organs and other structures of the body, bringing oxygenated blood to all parts of the body in the systemic circulation."
C198975,UBERON Terminology,C97112,Aortic Body,A small mass that is located in the inferior surface of the aortic arch. It functions as a peripheral chemoreceptor and is composed of glomus cells.,UBERON:0034971,aortic body,,"One of several small clusters of chemoreceptors, baroreceptors, and supporting cells located along the aortic arch."
C198975,UBERON Terminology,C49477,Appendicular Skeleton,The part of the skeleton that includes the bones of the upper and lower limbs.,UBERON:0002091,appendicular skeleton,,Subdivision of skeleton which consists of all the skeletal elements in the pectoral and pelvic appendage complexes[cjm].
C198975,UBERON Terminology,C13190,Aqueous Humor,The watery fluid which is present in the anterior and posterior chambers of the eye.,UBERON:0001796,aqueous humor of eyeball,aqueous humor || aqueous humour || humor aquosus,A thick watery refractive medium that fills the space between the lens and the cornea.
C198975,UBERON Terminology,C12671,Upper Extremity,"The region of the body that includes the arm, the forearm, and hand.",UBERON:0001460,arm,,The part of the forelimb extending from the shoulder to the autopod.
C198975,UBERON Terminology,C12372,Artery,A blood vessel that carries blood away from the heart.,UBERON:0001637,artery,arterial subtree || arterial tree organ part || arteries,An epithelial tube or tree of tubes that transports blood away from the heart.
C198975,UBERON Terminology,C32144,Articular Cartilage,The cartilage that covers the ends of each bone in a joint.,UBERON:0010996,articular cartilage of joint,,"A thin layer of cartilage, usually hyaline, on the articular surface of bones in synovial joints."
C198975,UBERON Terminology,C12265,Ascending Colon,The first part of the colon (large intestine) that starts in the right lower quadrant of the abdomen and ends at the transverse colon in the right upper quadrant of the abdomen.,UBERON:0001156,ascending colon,colon ascendens,Section of colon which is distal to the cecum and proximal to the transverse colon.
C198975,UBERON Terminology,C12673,Autonomic Nervous System,The part of the nervous system of vertebrates that controls involuntary actions of the smooth muscles and heart and glands.,UBERON:0002410,autonomic nervous system,autonomic division of peripheral nervous system || autonomic part of peripheral nervous system || divisio autonomica systematis nervosi peripherici || pars autonomica systematis nervosi peripherici || peripheral autonomic nervous system || visceral nervous system,"The autonomic nervous system is composed of neurons that are not under conscious control, and is comprised of two antagonistic components, the sympathetic and parasympathetic nervous systems. The autonomic nervous system regulates key functions including the activity of the cardiac (heart) muscle, smooth muscles (e.g. of the gut), and glands."
C198975,UBERON Terminology,C12674,Axilla,The underside concavity where the arm and the shoulder are joined.,UBERON:0009472,axilla,arm pit || armpit || axillary region || regio axillaris,The axilla is the area directly under the joint where the forelimb connects to the shoulder.
C198975,UBERON Terminology,C12904,Axillary Lymph Node,One of approximately 20-30 lymph nodes in chain formation that traverse the concavity of the underarm to the clavicle.,UBERON:0001097,axillary lymph node,,"The lymph nodes located around the axillary vein that receive lymphatic drainage from the upper or forelimb, scapular region and pectoral region."
C198975,UBERON Terminology,C12305,Axillary Tail of the Breast,"The superolateral extension of the mammary gland into the axilla that consists of fibroadipose tissue, lymph nodes, and lymphatics.",UBERON:0035289,axillary tail of breast,,An extension of the tissue of the breast which extends into the axilla.
C198975,UBERON Terminology,C12376,Bile Duct,"Any of the ducts conveying bile between the liver and the intestine, including hepatic, cystic, and common bile duct.",UBERON:0002394,bile duct,,"Any of the ducts that form the biliary tree, carrying bile from the liver to the small intestine."
C198975,UBERON Terminology,C12434,Blood,"A liquid tissue; its major function is to transport oxygen throughout the body. It also supplies the tissues with nutrients, removes waste products, and contains various components of the immune system defending the body against infection. Several hormones also travel in the blood.",UBERON:0000178,blood,portion of blood || vertebrate blood,A fluid that is composed of blood plasma and erythrocytes.
C198975,UBERON Terminology,C12679,Blood Vessel,"A tubular structure through which the blood circulates in the body. Blood vessels constitute a network composed of arteries, arterioles, capillaries, venules, and veins.",UBERON:0001981,blood vessel,,A vessel through which blood circulates in the body.
C198975,UBERON Terminology,C12270,Body of the Pancreas,The part of the pancreas from the point where it crosses the portal vein to the point where it enters the lienorenal ligament.,UBERON:0001150,body of pancreas,,"The body of the pancreas is a subsection of the pancreas organ in the human body. It is somewhat prismatic in shape, and has three surfaces: anterior, posterior, and inferior. It is at the same level as the transpyloric plane. [WP,unvetted]."
C198975,UBERON Terminology,C12258,Body of Stomach,The main section of the digestive tube that connects the esophagus to the small intestine. The body proper excludes the upper and lower sections of the fundus and pyloric portion respectively.,UBERON:0001161,body of stomach,,The body of stomach is the part of the stomach that lies between the fundus above and the pyloric antrum below; its boundaries are poorly defined[GO].
C198975,UBERON Terminology,C12316,Corpus Uteri,"The Corpus uteri, or body of uterus, is the part of the uterus above the isthmus, comprising about two thirds of the non-pregnant organ.",UBERON:0009853,body of uterus,,The part of the uterus above the isthmus and below the orifices of the uterine tubes.
C198975,UBERON Terminology,C12366,Bone,The structural organ comprised of specialized connective tissue that forms the skeletal components of the body.,UBERON:0001474 || UBERON:0002481,bone element,,Skeletal element that is composed of bone tissue.
C198975,UBERON Terminology,C12431,Bone Marrow,"The tissue occupying the spaces of bone. It consists of blood vessel sinuses and a network of hematopoietic cells which give rise to the red cells, white cells, and megakaryocytes.",UBERON:0002371,bone marrow,medulla ossea || medulla ossium,The soft tissue that fills the cavities of bones.
C198975,UBERON Terminology,C12439,Brain,An organ composed of grey and white matter containing billions of neurons that is the center for intelligence and reasoning. It is protected by the bony cranium.,UBERON:0000955,brain,,"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell."
C198975,UBERON Terminology,C12356,Brain Ventricle,The four connected cavities (hollow spaces) centrally located within the brain that connect posteriorly with the central canal of the spinal cord.,UBERON:0004086,brain ventricle,,"One of the system of communicating cavities in the brain that are continuous with the central canal of the spinal cord, that like it are derived from the medullary canal of the embryo, that are lined with an epithelial ependyma, and that contain a serous fluid."
C198975,UBERON Terminology,C12441,Brain Stem,"Three sections, the midbrain, pons and medulla oblongata, that are located at the base of the brain. The brain stem regulates the central nervous system, and is vital as a conduit for motor and sensory innervations.",UBERON:0002298,brainstem,brain stem || truncus encephali,Stalk-like part of the brain that includes amongst its parts the medulla oblongata of the hindbrain and the tegmentum of the midbrain.
C198975,UBERON Terminology,C204859,Mammary Region,The region of the torso containing the breasts and/or mammary glands.,UBERON:0000310,breast,mammary part of chest || mammary region,The upper ventral region of the torso of an organism.
C198975,UBERON Terminology,C12318,Broad Ligament,"A wide fold of peritoneum that connects the uterus to the lateral walls and floor of the pelvis, and contains the ovaries, fallopian tubes, ovarian ligaments, round ligament of the uterus, and ovarian and uterine arteries.",UBERON:0012332,broad ligament of uterus,broad uterine ligament,A broad fold of peritoneum that extends from the side of the uterus to the wall of the pelvis.
C198975,UBERON Terminology,C12684,Bronchiole,"The smallest subdivisions of the bronchial tree, which are both acartilagenous and aglandular.",UBERON:0002186,bronchiole,lobular bronchiole,The conducting airway of the lungs found terminal to the bronchi; these structures contain neither cartilage nor mucous-secreting glands; the epithelium of the bronchioles becomes thinner with each branching.
C198975,UBERON Terminology,C12683,Bronchus,"Tubular structure in continuation with the trachea, serving as air passage. It terminates in the lung (terminal bronchiole).",UBERON:0002185,bronchus,bronchi || bronchial trunk,The upper conducting airways of the lung; these airways arise from the terminus of the trachea.
C198975,UBERON Terminology,C12505,Buccal Mucosa,"The mucosal membranes located on the inside of the cheek, in the buccal cavity.",UBERON:0006956,buccal mucosa,,The inner lining of the cheeks and lips.
C198975,UBERON Terminology,C89806,Buttock,Either of the fleshy mounds in the rear pelvic area of the human body formed by the gluteal muscles.,UBERON:0013691,buttock,clunis || gluteal part of pelvic girdle || gluteal region || regio glutealis,A zone of soft tissue located on the posterior of the lateral side of the pelvic region corresponding to the gluteal muscles.
C198975,UBERON Terminology,C12381,Cecum,A blind pouch-like commencement of the colon in the right lower quadrant of the abdomen at the end of the small intestine and the start of the large intestine.,UBERON:0001153,caecum,cecum || intestinum crassum caecum,"A pouch in the digestive tract that connects the ileum with the ascending colon of the large intestine. It is separated from the ileum by the ileocecal valve, and is the beginning of the large intestine. It is also separated from the colon by the cecocolic junction."
C198975,UBERON Terminology,C32250,Calcaneum,The irregular and largest tarsal bone that forms the heel.,UBERON:0001450,calcaneus,calcaneal bone || calcaneum || calcaneus bone || os calcis,The postaxial bone of the proximal tarsals series
C198975,UBERON Terminology,C32212,Blood Capillary,Tiny blood vessels that connect the arterioles with the venules.,UBERON:0001982,capillary,blood capillary || capillary vessel,Any of the smallest blood vessels connecting arterioles with venules.
C198975,UBERON Terminology,C12256,Gastric Cardia,The area around the esophagogastric mucosal junction where the esophageal mucosa transitions into the gastric mucosa.,UBERON:0001162,cardia of stomach,cardial part of stomach || gastric cardia || pars cardiaca (gaster) || pars cardiaca gastricae || stomach cardiac region,"The part of the stomach attached to the esophagus. The cardia begins immediately distal to the z-line of the gastroesophageal junction, where the squamous epithelium of the esophagus gives way to the columnar epithelium of the gastrointestinal tract."
C198975,UBERON Terminology,C25264,Carina,A ridge or ridge-like structure.  In humans it usually refers to the trachea.  The carina of trachea is part of the lowest tracheal cartilage which is placed between the orifices of the two bronchi.,UBERON:0006679,carina of trachea,carina tracheae || tracheal carina,A cartilaginous ridge within the trachea that runs anteroposteriorly between the two primary bronchi at the site of the tracheal bifurcation at the lower end of the trachea.
C198975,UBERON Terminology,C199220,Carotid Artery Segment,A segment of a carotid artery.,UBERON:0005396,carotid artery segment,carotid || carotid artery,"One of: the common carotid artery, or its branches, the external and internal carotid arteries."
C198975,UBERON Terminology,C66852,Carotid Body,"A cluster of cells that function as chemo-receptors, located at the bifurcation of the carotid artery. Its main purpose is to detect changes in the composition of arterial blood.",UBERON:0001629,carotid body,carotid glomus || glomus caroticum,"A small epithelioid structure consisting of a small cluster of chemoreceptive and supporting cells located near the bifurcation of the common carotid artery that serves as a chemoreceptive organ that senses the pH, carbon dioxide, and oxygen concentrations in the blood and plays a crucial role in their homeostatic control."
C198975,UBERON Terminology,C12689,Cauda Equina,"The collection of spinal nerve roots, arising from lumbar pairs two through five, sacral pairs one through five, and the coccygeal nerve, that branch off the conus medullaris at the termination of the spinal cord, and float freely within the lumbar cistern before exiting the spinal column at the appropriate vertebra.",UBERON:0012337,cauda equina,,"The cauda equina is a structure within the lower end of the spinal column of most vertebrates, that consists of nerve roots and rootlets from above. The space in which the cerebrospinal fluid is present is actually an extension of the subarachnoid space."
C198975,UBERON Terminology,C12891,Central Canal of Spinal Cord,The hollow tube filled with cerebrospinal fluid that begins in the inferior portion of the fourth ventricle and runs the entire length of the spinal.,UBERON:0002291,central canal of spinal cord,,Spinal cord structure that is part of the ventricular system and is filled with cerebral-spinal fluid and runs the length of the spinal cord.
C198975,UBERON Terminology,C12438,Central Nervous System,"The part of the nervous system that consists of the brain, spinal cord, and meninges.",UBERON:0001017,central nervous system,CNS || systema nervosum centrale,The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the neural tube derivatives: the brain and spinal cord. In invertebrates it includes central ganglia plus nerve cord.
C198975,UBERON Terminology,C32726,Hemisphere of the Cerebellum,Either side of the cerebellum separated by the vermis.,UBERON:0002245,cerebellar hemisphere,,"A paired regions of the cerebellum that lie outside and lateral to the central vermis[MP]. The cerebellum consists of three parts, a median and two lateral, which are continuous with each other, and are substantially the same in structure. The median portion is constricted, and is called the vermis, from its annulated appearance which it owes to the transverse ridges and furrows upon it; the lateral expanded portions are named the hemispheres. The lateral hemisphere is considered the portion of the cerebellum to develop most recently. [WP,unvetted]."
C198975,UBERON Terminology,C12445,Cerebellum,"The portion of the brain located at the base of the skull that is responsible for balance, equilibrium and movement.",UBERON:0002037,cerebellum,,"Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance."
C198975,UBERON Terminology,C12443,Cerebral Cortex,"The outer layer of the cerebrum composed of neurons and unmyelinated nerve fibers. It is responsible for memory, attention, consciousness and other higher levels of mental function.",UBERON:0000956,cerebral cortex,cortex of cerebral hemisphere,"The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon. It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex."
C198975,UBERON Terminology,C12351,Cerebral Hemisphere,"The part of the brain that controls muscle functions and also controls speech, thought, emotions, reading, writing, and learning. The right hemisphere controls the muscles on the left side of the body, and the left hemisphere controls the muscles on the right side of the body.",UBERON:0001869,cerebral hemisphere,,"One of two bilateral, largely symmetrical organ subdivisions within the telencephalon which contain the cerebral cortex and cerebral white matter."
C198975,UBERON Terminology,C12692,Cerebrospinal Fluid,"The fluid that is contained within the brain ventricles, the subarachnoid space and the central canal of the spinal cord.",UBERON:0001359,cerebrospinal fluid,CSF || cerebral spinal fluid,"A clear, colorless, bodily fluid, that occupies the subarachnoid space and the ventricular system around and inside the brain and spinal cord."
C198975,UBERON Terminology,C32298,Cervical Lymph Node,Any of the lymph nodes located in the neck.,UBERON:0002429,cervical lymph node,,"Cervical lymph nodes are lymph nodes found in the neck. [WP,unvetted]."
C198975,UBERON Terminology,C69313,Cervical Spine,The set of vertebrae immediately caudal to the skull.,UBERON:0006072,cervical region of vertebral column,,That portion of the spine comprising the cervical vertebrae. The neck area of the spine.
C198975,UBERON Terminology,C12892,Cervical Spinal Cord,The portion of the spinal cord located in the cervical region.,UBERON:0002726,cervical spinal cord,,A spinal cord segment that adjacent_to a cervical region.
C198975,UBERON Terminology,C13070,Cheek,"The fleshy part of the face bounded by the eyes, nose, ear, and jaw line.",UBERON:0001567,cheek,,"A fleshy subdivision of one side of the face bounded by an eye, ear and the nose."
C198975,UBERON Terminology,C12799,Thorax,The division of the body lying between the neck and the abdomen.,UBERON:0001443,chest,anterolateral part of thorax || front of thorax || pectus || ventral part of thoracic region,"Subdivision of trunk proper, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin and associated with the thoracic vertebral column and ribcage and from the back of the thorax by the external surface of the posterolateral part of the rib cage, the anterior surface of the thoracic vertebral column and the posterior axillary lines; together with the abdomen and the perineum, it constitutes the trunk proper."
C198975,UBERON Terminology,C62484,Chest Wall,The total system of structures outside the lungs that move as a part of breathing; it includes all structures from the skin to the parietal pleura.,UBERON:0016435,chest wall,,Subdivision of thorax which includes all structures from the skin to the costal pleura. Examples: There is only one chest wall.
C198975,UBERON Terminology,C81169,Mentum,The part of the face below the lower lip and including the protruding part of the lower jaw.,UBERON:0008199,chin,mental part of face || mental region || mental region of face || regio mentalis,A subdivision of the face that is the anteriormost part of the lower jaw region.
C198975,UBERON Terminology,C12345,Ciliary Body,Tissue located behind the iris and composed of muscle and epithelium. Its functions include the production of aqueous humor and changing the shape of the crystalline lens.,UBERON:0001775,ciliary body,,"The thickened portion of the vascular tunic, which lies between the choroid and the iris, composed of ciliary muscle and ciliary processes."
C198975,UBERON Terminology,C12695,Clavicle,One of a pair of bones linking the scapula and the sternum. The clavicle is part of the pectoral girdle.,UBERON:0001105,clavicle bone,clavicle || clavicula || collar bone || collarbone,
C198975,UBERON Terminology,C12308,Clitoris,The erectile tissue in the vulva. It is composed of the corpora cavernosa and the glans clitoris.,UBERON:0002411,clitoris,,"The small, erectile body located at the anterior end of the vulva."
C198975,UBERON Terminology,C12696,Coccyx,A small bone located at the bottom of the spine. The coccyx is a result of 3-5 fused rudimentary vertebrae.,UBERON:0001350,coccyx,coccygeal skeleton || coccygeal vertebrae I-IV || fused caudal vertebrae || fused caudal vertebral column || os coccygis || vertebrae coccygeae I-IV,
C198975,UBERON Terminology,C12447,Basal Ganglia,"Clusters of neurons comprising the globus pallidus, putamen, caudate, nucleus accumbens, substantia nigra and subthalamic nucleus. They are involved with high level aspects of inhibitory motor activity in coordination with the excitation commands issued from the cerebellum.",UBERON:0010011,collection of basal ganglia,,"Subcortical masses of gray matter in the forebrain and midbrain that are richly interconnected and so viewed as a functional system. The nuclei usually included are the caudate nucleus (caudoputamen in rodents), putamen, globus pallidus, substantia nigra (pars compacta and pars reticulata) and the subthalamic nucleus. Some also include the nucleus accumbens and ventral pallidum."
C198975,UBERON Terminology,C12382,Colon,"The part of the large intestine measured from the cecum to the rectum consisting of ascending, transverse, descending and sigmoid portions. The purpose of the colon is to remove water from digested food prior to excretion.",UBERON:0001155,colon,large bowel,
C198975,UBERON Terminology,C164003,Colonic Mucosa,The mucus membrane lining the inner surface of the colon.,UBERON:0000317,colonic mucosa,colon mucosa || colon mucous membrane || colonic mucosa || colonic mucous membrane || large bowel mucosa || mucosa of colon || mucosa of large bowel,Mucosa that is part of a colon. The mucosa of the colon is lined by a simple columnar epithelium with a thin brush border and numerous goblet cells.
C198975,UBERON Terminology,C12698,Common Bile Duct,"Bile ducts are passageways that carry bile. Two major bile ducts come together into a ""trunk""-the common bile duct which empties into the upper part of the small intestine (the part next to the stomach).",UBERON:0001174,common bile duct,ductus choledochus (biliaris),The part of the biliary tree formed by the union of the cystic duct and the common hepatic duct.
C198975,UBERON Terminology,C103384,Common Iliac Lymph Node,A lymph node located adjacent to the common iliac artery. (NCI),UBERON:0015878,common iliac lymph node,common iliac node,
C198975,UBERON Terminology,C12341,Conjunctiva,"A thin, transparent tissue divided into the palpebral conjunctiva (covering the inner side of the eye lid) and the bulbar conjunctiva (covering the eyeball).",UBERON:0001811,conjunctiva,conjunctivae || conjunctivas || tunica conjunctiva || wall of conjunctival sac,The mucous membrane that lines the inner surface of the eyelids and the front of the eyeball.
C198975,UBERON Terminology,C12374,Connective Tissue,"The supporting or framework tissue of the animal body, formed of fibrous and ground substance with more or less numerous cells of various kinds; it is derived from the mesenchyme, and this in turn from the mesoderm; the varieties of connective tissue are: areolar or loose; adipose; dense, regular or irregular, white fibrous; elastic; mucous; and lymphoid tissue; cartilage; and bone; the blood and lymph may be regarded as connective tissues the ground substance of which is a liquid.",UBERON:0002384,connective tissue,portion of connective tissue || textus connectivus,
C198975,UBERON Terminology,C12700,Cranial Nerve,Any of the 12 paired nerves that originate in the brain stem.,UBERON:0001785,cranial nerve,cranial neural tree organ,"Cranial nerves are nerves that emerge directly from the brain, in contrast to spinal nerves, which emerge from segments of the spinal cord."
C198975,UBERON Terminology,C12418,Head and Neck,"For oncology, an area of the body generally construed to comprise the base of skull and facial bones, sinuses, orbits, salivary glands, oral cavity, oropharynx, larynx, thyroid, facial and neck musculature and lymph nodes draining these areas.",UBERON:0007811,craniocervical region,,"The anteriormost subdivision of the body that includes the head, jaws, pharyngeal region and the neck (if present). In vertebrates this is the subdivision that includes the cervical vertebrae."
C198975,UBERON Terminology,C32431,Deep Cervical Lymph Node,"Lymph nodes located deep to the sternocleidomastoid muscle, which surround the internal jugular vein, and serve as the main pathway of lymphatic drainage for the head and neck.",UBERON:0004722,deep cervical lymph node,,"The deep cervical lymph nodes are a group of cervical lymph nodes found near the internal jugular vein. They can be divided into upper and lower groups, or superior and inferior groups. Alternatively, they can be divided into deep anterior cervical lymph nodes and deep lateral cervical lymph nodes. They can also be divided into three groups: superior deep jugular, middle deep jugular, and inferior deep jugular."
C198975,UBERON Terminology,C12701,Dermis,"The lower layer of the skin containing connective tissue, blood vessels, oil and sweat glands, nerves, hair follicles and other structures.",UBERON:0002067,dermis,vertebrate dermis,"The dermis is a layer of skin between the epidermis (with which it makes up the skin) and subcutaneous tissues, and is composed of two layers, the papillary and reticular dermis."
C198975,UBERON Terminology,C12268,Descending Colon,The fourth portion of the large intestine (colon) that communicates with the transverse colon in the left-upper quadrant of the abdomen and the rectum below.,UBERON:0001158,descending colon,colon descendens,The portion of the colon between the left colic flexure and the sigmoid colon at the pelvic brim; the portion of the descending colon lying in the left iliac fossa is sometimes called the iliac colon.
C198975,UBERON Terminology,C12702,Diaphragm,"Fibromuscular tissue that separates the thoracic from the abdominal cavity. It increases the volume of the thoracic cavity through contractions, thus facilitating respiration.",UBERON:0001103,diaphragm,diaphragm muscle || diaphragm of thorax || thoracic diaphragm,A thin musculomembranous barrier that separates the abdominal and thoracic cavities. Often used for breathing control.
C198975,UBERON Terminology,C12459,Thalamus,"An ovoid mass composed predominantly of gray substance and associated laminae of white substance. The thalamus is divided into anterior, medial, and lateral parts. The function of the thalamus is to relay sensory impulses and cerebellar and basal ganglia projections to the cerebral cortex. The thalamus is positioned within the posterior part of the diencephalon forming most of each lateral wall of the third ventricle.",UBERON:0010225 || UBERON:0001897,dorsal plus ventral thalamus,,"Subcortical brain region consisting of paired gray matter bodies in the dorsal diencephalon and forming part of the lateral wall of the third ventricle of the brain. The thalamus represents the major portion of the diencephalon and is commonly divided into cellular aggregates known as nuclear groups.(MeSH). The dorsal topographic division of the interbrain. The macrodissected adult human thalamus was clearly illustrated by Vesalius in 1543 and the term as defined here was introduced by His in 1893. It includes the traditional epithalamus, dorsal thalamus, and ventral thalamus of Herrick (1910, pp. 494, 498). Also see Kuhlenbeck (1927, Ch. 9) and Jones (1985, p. 87)."
C198975,UBERON Terminology,C13062,Back,The dorsal area between the base of the neck and the sacrum.,UBERON:0001137,dorsum,back || back of body proper || dorsal part of organism,A major subdivision of an organism that is the entire part of the organism dorsal to a horizontal plane and bounded on one side by the same transverse plane. In vertebrares this includes the vertebral column.
